Category: All categories

Month,great barrier reef damage: (Worldwide)
2004-01,64
2004-02,63
2004-03,0
2004-04,0
2004-05,78
2004-06,52
2004-07,0
2004-08,51
2004-09,47
2004-10,0
2004-11,0
2004-12,0
2005-01,39
2005-02,41
2005-03,34
2005-04,0
2005-05,34
2005-06,0
2005-07,52
2005-08,100
2005-09,45
2005-10,72
2005-11,28
2005-12,0
2006-01,0
2006-02,50
2006-03,32
2006-04,23
2006-05,21
2006-06,22
2006-07,67
2006-08,21
2006-09,0
2006-10,18
2006-11,18
2006-12,18
2007-01,16
2007-02,33
2007-03,14
2007-04,15
2007-05,46
2007-06,14
2007-07,13
2007-08,19
2007-09,0
2007-10,33
2007-11,11
2007-12,34
2008-01,10
2008-02,16
2008-03,10
2008-04,19
2008-05,19
2008-06,0
2008-07,19
2008-08,10
2008-09,0
2008-10,0
2008-11,25
2008-12,8
2009-01,8
2009-02,8
2009-03,11
2009-04,7
2009-05,14
2009-06,10
2009-07,0
2009-08,10
2009-09,6
2009-10,15
2009-11,6
2009-12,6
2010-01,6
2010-02,9
2010-03,8
2010-04,20
2010-05,19
2010-06,11
2010-07,5
2010-08,15
2010-09,5
2010-10,5
2010-11,5
2010-12,5
2011-01,13
2011-02,9
2011-03,10
2011-04,4
2011-05,18
2011-06,6
2011-07,4
2011-08,12
2011-09,7
2011-10,16
2011-11,9
2011-12,4
2012-01,15
2012-02,3
2012-03,8
2012-04,11
2012-05,3
2012-06,8
2012-07,0
2012-08,5
2012-09,6
2012-10,10
2012-11,9
2012-12,6
2013-01,3
2013-02,6
2013-03,8
2013-04,6
2013-05,17
2013-06,4
2013-07,9
2013-08,4
2013-09,15
2013-10,9
2013-11,13
2013-12,4
2014-01,3
2014-02,4
2014-03,8
2014-04,8
2014-05,9
2014-06,11
2014-07,9
2014-08,6
2014-09,9
2014-10,15
2014-11,10
2014-12,3
2015-01,6
2015-02,7
2015-03,10
2015-04,4
2015-05,11
2015-06,13
2015-07,7
2015-08,4
2015-09,6
2015-10,5
2015-11,15
2015-12,2
2016-01,2
2016-02,3
2016-03,8
2016-04,18
2016-05,9
2016-06,5
2016-07,5
2016-08,8
2016-09,13
2016-10,10
2016-11,8
2016-12,6
2017-01,4
2017-02,10
2017-03,10
2017-04,24
2017-05,8
2017-06,9
2017-07,6
2017-08,16
2017-09,4
2017-10,16
2017-11,15
2017-12,8
2018-01,5
2018-02,6
2018-03,12
2018-04,17
2018-05,8
2018-06,13
2018-07,3
2018-08,15
2018-09,10
2018-10,0
