Category: All categories

Month,great barrier reef death: (Worldwide)
2004-01,48
2004-02,0
2004-03,0
2004-04,90
2004-05,39
2004-06,0
2004-07,0
2004-08,0
2004-09,70
2004-10,0
2004-11,0
2004-12,67
2005-01,0
2005-02,31
2005-03,0
2005-04,29
2005-05,0
2005-06,25
2005-07,26
2005-08,0
2005-09,23
2005-10,32
2005-11,21
2005-12,0
2006-01,18
2006-02,0
2006-03,16
2006-04,0
2006-05,0
2006-06,33
2006-07,0
2006-08,16
2006-09,59
2006-10,14
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,16
2007-04,0
2007-05,0
2007-06,0
2007-07,20
2007-08,9
2007-09,9
2007-10,17
2007-11,8
2007-12,9
2008-01,8
2008-02,12
2008-03,0
2008-04,7
2008-05,0
2008-06,14
2008-07,11
2008-08,7
2008-09,7
2008-10,9
2008-11,9
2008-12,9
2009-01,0
2009-02,12
2009-03,5
2009-04,11
2009-05,10
2009-06,5
2009-07,0
2009-08,10
2009-09,5
2009-10,9
2009-11,9
2009-12,9
2010-01,4
2010-02,4
2010-03,8
2010-04,15
2010-05,15
2010-06,6
2010-07,0
2010-08,8
2010-09,15
2010-10,10
2010-11,3
2010-12,7
2011-01,5
2011-02,5
2011-03,7
2011-04,6
2011-05,3
2011-06,3
2011-07,6
2011-08,3
2011-09,10
2011-10,4
2011-11,4
2011-12,3
2012-01,4
2012-02,9
2012-03,7
2012-04,2
2012-05,5
2012-06,0
2012-07,0
2012-08,7
2012-09,9
2012-10,8
2012-11,9
2012-12,2
2013-01,4
2013-02,2
2013-03,4
2013-04,5
2013-05,4
2013-06,3
2013-07,5
2013-08,4
2013-09,8
2013-10,8
2013-11,4
2013-12,2
2014-01,4
2014-02,4
2014-03,5
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,7
2014-09,5
2014-10,5
2014-11,5
2014-12,3
2015-01,4
2015-02,11
2015-03,9
2015-04,5
2015-05,7
2015-06,5
2015-07,3
2015-08,2
2015-09,4
2015-10,3
2015-11,3
2015-12,3
2016-01,4
2016-02,6
2016-03,7
2016-04,11
2016-05,7
2016-06,7
2016-07,3
2016-08,4
2016-09,6
2016-10,100
2016-11,46
2016-12,18
2017-01,11
2017-02,13
2017-03,15
2017-04,13
2017-05,9
2017-06,11
2017-07,10
2017-08,6
2017-09,10
2017-10,2
2017-11,10
2017-12,9
2018-01,11
2018-02,6
2018-03,10
2018-04,7
2018-05,12
2018-06,6
2018-07,5
2018-08,9
2018-09,8
2018-10,12
