Category: All categories

Month,great barrier reef diving: (Worldwide)
2004-01,89
2004-02,73
2004-03,81
2004-04,100
2004-05,60
2004-06,73
2004-07,42
2004-08,78
2004-09,60
2004-10,61
2004-11,55
2004-12,45
2005-01,64
2005-02,89
2005-03,61
2005-04,89
2005-05,26
2005-06,43
2005-07,40
2005-08,55
2005-09,58
2005-10,40
2005-11,40
2005-12,35
2006-01,34
2006-02,48
2006-03,49
2006-04,33
2006-05,33
2006-06,31
2006-07,46
2006-08,66
2006-09,43
2006-10,35
2006-11,49
2006-12,28
2007-01,24
2007-02,49
2007-03,35
2007-04,29
2007-05,32
2007-06,43
2007-07,27
2007-08,19
2007-09,36
2007-10,31
2007-11,38
2007-12,25
2008-01,46
2008-02,41
2008-03,27
2008-04,29
2008-05,34
2008-06,40
2008-07,31
2008-08,19
2008-09,30
2008-10,31
2008-11,32
2008-12,29
2009-01,40
2009-02,23
2009-03,35
2009-04,30
2009-05,42
2009-06,33
2009-07,26
2009-08,33
2009-09,26
2009-10,27
2009-11,29
2009-12,22
2010-01,35
2010-02,23
2010-03,22
2010-04,31
2010-05,28
2010-06,19
2010-07,24
2010-08,34
2010-09,27
2010-10,31
2010-11,24
2010-12,19
2011-01,23
2011-02,22
2011-03,23
2011-04,28
2011-05,24
2011-06,24
2011-07,21
2011-08,22
2011-09,27
2011-10,31
2011-11,24
2011-12,19
2012-01,31
2012-02,24
2012-03,32
2012-04,24
2012-05,21
2012-06,20
2012-07,22
2012-08,28
2012-09,28
2012-10,26
2012-11,20
2012-12,20
2013-01,25
2013-02,23
2013-03,22
2013-04,19
2013-05,20
2013-06,21
2013-07,22
2013-08,26
2013-09,23
2013-10,20
2013-11,24
2013-12,24
2014-01,30
2014-02,19
2014-03,22
2014-04,21
2014-05,26
2014-06,20
2014-07,20
2014-08,24
2014-09,26
2014-10,24
2014-11,26
2014-12,19
2015-01,27
2015-02,22
2015-03,24
2015-04,22
2015-05,20
2015-06,23
2015-07,25
2015-08,22
2015-09,20
2015-10,20
2015-11,26
2015-12,21
2016-01,34
2016-02,21
2016-03,25
2016-04,29
2016-05,23
2016-06,23
2016-07,19
2016-08,22
2016-09,24
2016-10,27
2016-11,24
2016-12,17
2017-01,27
2017-02,26
2017-03,22
2017-04,23
2017-05,21
2017-06,23
2017-07,20
2017-08,20
2017-09,20
2017-10,21
2017-11,20
2017-12,22
2018-01,24
2018-02,22
2018-03,21
2018-04,20
2018-05,24
2018-06,20
2018-07,18
2018-08,16
2018-09,18
2018-10,14
