Category: All categories

Month,great barrier reef dying: (Worldwide)
2004-01,0
2004-02,0
2004-03,37
2004-04,0
2004-05,25
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,20
2005-03,0
2005-04,19
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,14
2005-11,14
2005-12,13
2006-01,0
2006-02,12
2006-03,10
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,9
2006-11,8
2006-12,0
2007-01,8
2007-02,12
2007-03,7
2007-04,7
2007-05,6
2007-06,13
2007-07,0
2007-08,12
2007-09,6
2007-10,0
2007-11,0
2007-12,0
2008-01,10
2008-02,0
2008-03,0
2008-04,5
2008-05,5
2008-06,0
2008-07,0
2008-08,0
2008-09,4
2008-10,4
2008-11,4
2008-12,0
2009-01,7
2009-02,4
2009-03,3
2009-04,3
2009-05,10
2009-06,3
2009-07,3
2009-08,0
2009-09,6
2009-10,6
2009-11,0
2009-12,3
2010-01,0
2010-02,6
2010-03,3
2010-04,3
2010-05,0
2010-06,3
2010-07,3
2010-08,5
2010-09,0
2010-10,2
2010-11,0
2010-12,2
2011-01,2
2011-02,2
2011-03,3
2011-04,3
2011-05,4
2011-06,3
2011-07,2
2011-08,0
2011-09,4
2011-10,3
2011-11,3
2011-12,4
2012-01,3
2012-02,2
2012-03,3
2012-04,3
2012-05,3
2012-06,2
2012-07,2
2012-08,1
2012-09,4
2012-10,3
2012-11,4
2012-12,1
2013-01,1
2013-02,2
2013-03,5
2013-04,4
2013-05,5
2013-06,2
2013-07,1
2013-08,3
2013-09,4
2013-10,4
2013-11,4
2013-12,1
2014-01,3
2014-02,3
2014-03,4
2014-04,4
2014-05,5
2014-06,2
2014-07,4
2014-08,2
2014-09,2
2014-10,3
2014-11,3
2014-12,1
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,4
2015-06,4
2015-07,3
2015-08,3
2015-09,2
2015-10,2
2015-11,4
2015-12,2
2016-01,1
2016-02,4
2016-03,10
2016-04,17
2016-05,14
2016-06,9
2016-07,8
2016-08,3
2016-09,8
2016-10,100
2016-11,49
2016-12,28
2017-01,24
2017-02,35
2017-03,51
2017-04,48
2017-05,32
2017-06,18
2017-07,30
2017-08,17
2017-09,13
2017-10,18
2017-11,21
2017-12,11
2018-01,20
2018-02,22
2018-03,25
2018-04,32
2018-05,39
2018-06,15
2018-07,15
2018-08,37
2018-09,36
2018-10,25
