Category: All categories

Month,great barrier reef facts: (Worldwide)
2004-01,36
2004-02,43
2004-03,54
2004-04,61
2004-05,100
2004-06,35
2004-07,19
2004-08,23
2004-09,48
2004-10,43
2004-11,49
2004-12,25
2005-01,35
2005-02,65
2005-03,54
2005-04,48
2005-05,53
2005-06,54
2005-07,24
2005-08,30
2005-09,24
2005-10,29
2005-11,19
2005-12,19
2006-01,47
2006-02,43
2006-03,46
2006-04,37
2006-05,51
2006-06,15
2006-07,5
2006-08,21
2006-09,27
2006-10,14
2006-11,22
2006-12,20
2007-01,14
2007-02,28
2007-03,33
2007-04,22
2007-05,39
2007-06,29
2007-07,10
2007-08,16
2007-09,31
2007-10,20
2007-11,19
2007-12,7
2008-01,15
2008-02,16
2008-03,41
2008-04,31
2008-05,36
2008-06,19
2008-07,7
2008-08,13
2008-09,17
2008-10,25
2008-11,28
2008-12,17
2009-01,29
2009-02,36
2009-03,38
2009-04,39
2009-05,79
2009-06,36
2009-07,18
2009-08,38
2009-09,47
2009-10,40
2009-11,56
2009-12,26
2010-01,43
2010-02,67
2010-03,92
2010-04,79
2010-05,97
2010-06,57
2010-07,29
2010-08,38
2010-09,53
2010-10,50
2010-11,42
2010-12,24
2011-01,38
2011-02,47
2011-03,73
2011-04,54
2011-05,85
2011-06,53
2011-07,24
2011-08,42
2011-09,51
2011-10,55
2011-11,54
2011-12,29
2012-01,43
2012-02,57
2012-03,75
2012-04,41
2012-05,79
2012-06,56
2012-07,23
2012-08,39
2012-09,56
2012-10,57
2012-11,48
2012-12,27
2013-01,38
2013-02,47
2013-03,58
2013-04,57
2013-05,65
2013-06,42
2013-07,31
2013-08,37
2013-09,49
2013-10,45
2013-11,48
2013-12,29
2014-01,29
2014-02,50
2014-03,50
2014-04,41
2014-05,60
2014-06,43
2014-07,27
2014-08,41
2014-09,40
2014-10,46
2014-11,46
2014-12,23
2015-01,33
2015-02,47
2015-03,60
2015-04,40
2015-05,54
2015-06,39
2015-07,27
2015-08,30
2015-09,29
2015-10,34
2015-11,41
2015-12,22
2016-01,21
2016-02,27
2016-03,36
2016-04,33
2016-05,46
2016-06,27
2016-07,20
2016-08,24
2016-09,30
2016-10,38
2016-11,35
2016-12,21
2017-01,26
2017-02,34
2017-03,38
2017-04,30
2017-05,47
2017-06,29
2017-07,19
2017-08,25
2017-09,26
2017-10,31
2017-11,34
2017-12,18
2018-01,17
2018-02,26
2018-03,35
2018-04,32
2018-05,42
2018-06,30
2018-07,13
2018-08,30
2018-09,34
2018-10,27
