Category: All categories

Month,great barrier reef global warming: (Worldwide)
2004-01,0
2004-02,100
2004-03,62
2004-04,48
2004-05,83
2004-06,62
2004-07,0
2004-08,81
2004-09,75
2004-10,38
2004-11,76
2004-12,0
2005-01,0
2005-02,65
2005-03,27
2005-04,31
2005-05,53
2005-06,27
2005-07,28
2005-08,26
2005-09,0
2005-10,23
2005-11,34
2005-12,0
2006-01,19
2006-02,20
2006-03,34
2006-04,37
2006-05,34
2006-06,44
2006-07,18
2006-08,25
2006-09,32
2006-10,22
2006-11,84
2006-12,0
2007-01,13
2007-02,40
2007-03,17
2007-04,73
2007-05,41
2007-06,27
2007-07,31
2007-08,20
2007-09,24
2007-10,22
2007-11,30
2007-12,18
2008-01,0
2008-02,20
2008-03,19
2008-04,15
2008-05,26
2008-06,23
2008-07,11
2008-08,34
2008-09,21
2008-10,35
2008-11,33
2008-12,16
2009-01,18
2009-02,13
2009-03,14
2009-04,20
2009-05,25
2009-06,11
2009-07,14
2009-08,22
2009-09,33
2009-10,39
2009-11,22
2009-12,7
2010-01,11
2010-02,17
2010-03,23
2010-04,11
2010-05,33
2010-06,22
2010-07,10
2010-08,14
2010-09,12
2010-10,17
2010-11,16
2010-12,5
2011-01,8
2011-02,5
2011-03,16
2011-04,7
2011-05,14
2011-06,5
2011-07,3
2011-08,6
2011-09,12
2011-10,10
2011-11,14
2011-12,8
2012-01,6
2012-02,12
2012-03,6
2012-04,9
2012-05,9
2012-06,11
2012-07,7
2012-08,2
2012-09,7
2012-10,12
2012-11,19
2012-12,6
2013-01,3
2013-02,4
2013-03,12
2013-04,6
2013-05,12
2013-06,8
2013-07,5
2013-08,9
2013-09,14
2013-10,12
2013-11,6
2013-12,7
2014-01,6
2014-02,5
2014-03,13
2014-04,9
2014-05,12
2014-06,7
2014-07,5
2014-08,5
2014-09,7
2014-10,10
2014-11,15
2014-12,2
2015-01,4
2015-02,8
2015-03,12
2015-04,8
2015-05,10
2015-06,14
2015-07,5
2015-08,7
2015-09,10
2015-10,6
2015-11,9
2015-12,8
2016-01,5
2016-02,6
2016-03,11
2016-04,17
2016-05,16
2016-06,12
2016-07,5
2016-08,15
2016-09,16
2016-10,39
2016-11,23
2016-12,12
2017-01,8
2017-02,14
2017-03,21
2017-04,30
2017-05,17
2017-06,16
2017-07,16
2017-08,17
2017-09,14
2017-10,19
2017-11,5
2017-12,9
2018-01,11
2018-02,14
2018-03,15
2018-04,22
2018-05,17
2018-06,6
2018-07,5
2018-08,17
2018-09,16
2018-10,8
