Category: All categories

Month,great barrier reef scuba: (Worldwide)
2004-01,81
2004-02,32
2004-03,40
2004-04,92
2004-05,92
2004-06,79
2004-07,85
2004-08,39
2004-09,71
2004-10,73
2004-11,36
2004-12,56
2005-01,39
2005-02,62
2005-03,78
2005-04,39
2005-05,69
2005-06,43
2005-07,35
2005-08,68
2005-09,100
2005-10,29
2005-11,36
2005-12,21
2006-01,50
2006-02,51
2006-03,38
2006-04,24
2006-05,27
2006-06,51
2006-07,34
2006-08,47
2006-09,40
2006-10,41
2006-11,36
2006-12,32
2007-01,28
2007-02,42
2007-03,29
2007-04,12
2007-05,53
2007-06,42
2007-07,30
2007-08,39
2007-09,50
2007-10,42
2007-11,35
2007-12,35
2008-01,46
2008-02,24
2008-03,32
2008-04,32
2008-05,43
2008-06,32
2008-07,26
2008-08,19
2008-09,38
2008-10,36
2008-11,44
2008-12,32
2009-01,44
2009-02,32
2009-03,38
2009-04,20
2009-05,25
2009-06,38
2009-07,33
2009-08,40
2009-09,20
2009-10,34
2009-11,29
2009-12,26
2010-01,36
2010-02,24
2010-03,34
2010-04,24
2010-05,22
2010-06,30
2010-07,35
2010-08,22
2010-09,26
2010-10,32
2010-11,30
2010-12,22
2011-01,31
2011-02,27
2011-03,20
2011-04,28
2011-05,33
2011-06,25
2011-07,35
2011-08,20
2011-09,28
2011-10,34
2011-11,24
2011-12,22
2012-01,36
2012-02,23
2012-03,20
2012-04,27
2012-05,26
2012-06,31
2012-07,21
2012-08,33
2012-09,35
2012-10,32
2012-11,30
2012-12,26
2013-01,24
2013-02,29
2013-03,23
2013-04,28
2013-05,21
2013-06,22
2013-07,24
2013-08,29
2013-09,25
2013-10,22
2013-11,34
2013-12,31
2014-01,32
2014-02,27
2014-03,22
2014-04,21
2014-05,25
2014-06,24
2014-07,27
2014-08,22
2014-09,30
2014-10,28
2014-11,23
2014-12,18
2015-01,28
2015-02,31
2015-03,17
2015-04,24
2015-05,19
2015-06,28
2015-07,25
2015-08,29
2015-09,19
2015-10,26
2015-11,32
2015-12,26
2016-01,28
2016-02,24
2016-03,28
2016-04,26
2016-05,32
2016-06,23
2016-07,22
2016-08,23
2016-09,27
2016-10,26
2016-11,27
2016-12,32
2017-01,29
2017-02,30
2017-03,30
2017-04,23
2017-05,24
2017-06,27
2017-07,26
2017-08,20
2017-09,19
2017-10,28
2017-11,28
2017-12,24
2018-01,31
2018-02,28
2018-03,26
2018-04,25
2018-05,27
2018-06,26
2018-07,19
2018-08,22
2018-09,25
2018-10,25
