Category: All categories

Month,great barrier reef: (Worldwide)
2004-01,46
2004-02,70
2004-03,89
2004-04,65
2004-05,82
2004-06,65
2004-07,34
2004-08,56
2004-09,48
2004-10,57
2004-11,54
2004-12,37
2005-01,32
2005-02,48
2005-03,59
2005-04,47
2005-05,66
2005-06,45
2005-07,33
2005-08,45
2005-09,39
2005-10,41
2005-11,42
2005-12,25
2006-01,29
2006-02,36
2006-03,45
2006-04,37
2006-05,46
2006-06,31
2006-07,21
2006-08,31
2006-09,42
2006-10,33
2006-11,33
2006-12,21
2007-01,24
2007-02,31
2007-03,38
2007-04,31
2007-05,38
2007-06,29
2007-07,20
2007-08,27
2007-09,27
2007-10,28
2007-11,27
2007-12,19
2008-01,20
2008-02,23
2008-03,30
2008-04,26
2008-05,32
2008-06,23
2008-07,17
2008-08,19
2008-09,23
2008-10,25
2008-11,23
2008-12,17
2009-01,32
2009-02,28
2009-03,32
2009-04,25
2009-05,33
2009-06,25
2009-07,19
2009-08,22
2009-09,25
2009-10,23
2009-11,24
2009-12,14
2010-01,18
2010-02,22
2010-03,27
2010-04,41
2010-05,30
2010-06,22
2010-07,16
2010-08,20
2010-09,21
2010-10,21
2010-11,20
2010-12,13
2011-01,18
2011-02,19
2011-03,23
2011-04,19
2011-05,25
2011-06,19
2011-07,14
2011-08,17
2011-09,20
2011-10,19
2011-11,20
2011-12,14
2012-01,22
2012-02,20
2012-03,25
2012-04,18
2012-05,22
2012-06,20
2012-07,15
2012-08,17
2012-09,27
2012-10,26
2012-11,20
2012-12,15
2013-01,17
2013-02,18
2013-03,20
2013-04,19
2013-05,22
2013-06,18
2013-07,20
2013-08,18
2013-09,22
2013-10,19
2013-11,21
2013-12,17
2014-01,18
2014-02,21
2014-03,23
2014-04,19
2014-05,23
2014-06,18
2014-07,15
2014-08,17
2014-09,20
2014-10,19
2014-11,21
2014-12,14
2015-01,16
2015-02,19
2015-03,21
2015-04,19
2015-05,21
2015-06,18
2015-07,16
2015-08,19
2015-09,19
2015-10,19
2015-11,19
2015-12,16
2016-01,21
2016-02,18
2016-03,21
2016-04,25
2016-05,25
2016-06,20
2016-07,16
2016-08,18
2016-09,20
2016-10,100
2016-11,27
2016-12,18
2017-01,20
2017-02,21
2017-03,29
2017-04,25
2017-05,23
2017-06,23
2017-07,28
2017-08,20
2017-09,19
2017-10,20
2017-11,21
2017-12,16
2018-01,18
2018-02,19
2018-03,21
2018-04,21
2018-05,22
2018-06,16
2018-07,14
2018-08,21
2018-09,21
2018-10,17
