Category: All categories

Month,ocean acidification: (Worldwide)
2004-01,0
2004-02,0
2004-03,10
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,4
2005-04,10
2005-05,0
2005-06,0
2005-07,8
2005-08,0
2005-09,4
2005-10,3
2005-11,10
2005-12,0
2006-01,3
2006-02,5
2006-03,13
2006-04,14
2006-05,8
2006-06,4
2006-07,12
2006-08,5
2006-09,7
2006-10,11
2006-11,16
2006-12,11
2007-01,11
2007-02,8
2007-03,14
2007-04,16
2007-05,8
2007-06,6
2007-07,6
2007-08,14
2007-09,7
2007-10,17
2007-11,16
2007-12,17
2008-01,6
2008-02,15
2008-03,17
2008-04,20
2008-05,20
2008-06,14
2008-07,17
2008-08,8
2008-09,15
2008-10,23
2008-11,17
2008-12,19
2009-01,19
2009-02,23
2009-03,30
2009-04,29
2009-05,16
2009-06,22
2009-07,16
2009-08,20
2009-09,32
2009-10,39
2009-11,32
2009-12,39
2010-01,21
2010-02,32
2010-03,35
2010-04,41
2010-05,32
2010-06,24
2010-07,15
2010-08,18
2010-09,27
2010-10,35
2010-11,38
2010-12,30
2011-01,26
2011-02,36
2011-03,36
2011-04,37
2011-05,35
2011-06,29
2011-07,19
2011-08,20
2011-09,26
2011-10,38
2011-11,40
2011-12,27
2012-01,25
2012-02,34
2012-03,51
2012-04,43
2012-05,35
2012-06,22
2012-07,22
2012-08,22
2012-09,37
2012-10,46
2012-11,41
2012-12,33
2013-01,32
2013-02,36
2013-03,40
2013-04,45
2013-05,46
2013-06,22
2013-07,20
2013-08,20
2013-09,36
2013-10,52
2013-11,53
2013-12,38
2014-01,34
2014-02,46
2014-03,48
2014-04,48
2014-05,49
2014-06,30
2014-07,23
2014-08,28
2014-09,46
2014-10,56
2014-11,54
2014-12,40
2015-01,37
2015-02,47
2015-03,54
2015-04,59
2015-05,61
2015-06,34
2015-07,25
2015-08,31
2015-09,45
2015-10,56
2015-11,61
2015-12,50
2016-01,41
2016-02,50
2016-03,61
2016-04,68
2016-05,70
2016-06,32
2016-07,22
2016-08,31
2016-09,45
2016-10,58
2016-11,69
2016-12,47
2017-01,44
2017-02,63
2017-03,73
2017-04,76
2017-05,89
2017-06,44
2017-07,22
2017-08,32
2017-09,54
2017-10,65
2017-11,74
2017-12,51
2018-01,49
2018-02,61
2018-03,65
2018-04,88
2018-05,100
2018-06,43
2018-07,25
2018-08,31
2018-09,52
2018-10,60
