Category: All categories

Month,reef damage: (Worldwide)
2004-01,50
2004-02,30
2004-03,50
2004-04,19
2004-05,50
2004-06,25
2004-07,0
2004-08,16
2004-09,74
2004-10,31
2004-11,15
2004-12,56
2005-01,43
2005-02,26
2005-03,55
2005-04,18
2005-05,16
2005-06,27
2005-07,22
2005-08,42
2005-09,24
2005-10,100
2005-11,72
2005-12,13
2006-01,27
2006-02,40
2006-03,34
2006-04,22
2006-05,27
2006-06,25
2006-07,21
2006-08,20
2006-09,16
2006-10,17
2006-11,14
2006-12,12
2007-01,10
2007-02,13
2007-03,14
2007-04,10
2007-05,19
2007-06,17
2007-07,10
2007-08,14
2007-09,14
2007-10,19
2007-11,8
2007-12,11
2008-01,14
2008-02,13
2008-03,19
2008-04,21
2008-05,11
2008-06,12
2008-07,9
2008-08,9
2008-09,10
2008-10,10
2008-11,13
2008-12,5
2009-01,10
2009-02,9
2009-03,22
2009-04,9
2009-05,13
2009-06,9
2009-07,4
2009-08,12
2009-09,9
2009-10,16
2009-11,12
2009-12,5
2010-01,8
2010-02,10
2010-03,11
2010-04,20
2010-05,18
2010-06,4
2010-07,7
2010-08,8
2010-09,13
2010-10,5
2010-11,6
2010-12,4
2011-01,7
2011-02,15
2011-03,14
2011-04,10
2011-05,22
2011-06,2
2011-07,11
2011-08,9
2011-09,8
2011-10,9
2011-11,8
2011-12,4
2012-01,5
2012-02,3
2012-03,10
2012-04,9
2012-05,5
2012-06,5
2012-07,5
2012-08,3
2012-09,7
2012-10,8
2012-11,10
2012-12,9
2013-01,13
2013-02,10
2013-03,15
2013-04,11
2013-05,13
2013-06,6
2013-07,7
2013-08,4
2013-09,11
2013-10,7
2013-11,9
2013-12,5
2014-01,6
2014-02,9
2014-03,7
2014-04,9
2014-05,8
2014-06,5
2014-07,7
2014-08,6
2014-09,8
2014-10,11
2014-11,11
2014-12,2
2015-01,4
2015-02,9
2015-03,10
2015-04,7
2015-05,13
2015-06,6
2015-07,4
2015-08,5
2015-09,5
2015-10,9
2015-11,11
2015-12,10
2016-01,9
2016-02,12
2016-03,9
2016-04,12
2016-05,12
2016-06,7
2016-07,4
2016-08,6
2016-09,8
2016-10,13
2016-11,8
2016-12,5
2017-01,8
2017-02,8
2017-03,14
2017-04,17
2017-05,11
2017-06,7
2017-07,9
2017-08,8
2017-09,64
2017-10,12
2017-11,15
2017-12,10
2018-01,11
2018-02,7
2018-03,8
2018-04,14
2018-05,15
2018-06,12
2018-07,7
2018-08,11
2018-09,10
2018-10,4
