Category: All categories

Month,scuba diving in the great barrier reef: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,100
2004-06,0
2004-07,0
2004-08,49
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,39
2005-03,33
2005-04,37
2005-05,32
2005-06,33
2005-07,33
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,22
2006-05,0
2006-06,0
2006-07,21
2006-08,20
2006-09,0
2006-10,17
2006-11,17
2006-12,0
2007-01,15
2007-02,16
2007-03,0
2007-04,15
2007-05,0
2007-06,13
2007-07,13
2007-08,12
2007-09,23
2007-10,11
2007-11,10
2007-12,11
2008-01,10
2008-02,20
2008-03,28
2008-04,14
2008-05,9
2008-06,9
2008-07,0
2008-08,9
2008-09,8
2008-10,23
2008-11,12
2008-12,0
2009-01,11
2009-02,15
2009-03,20
2009-04,11
2009-05,27
2009-06,7
2009-07,7
2009-08,0
2009-09,0
2009-10,6
2009-11,6
2009-12,6
2010-01,11
2010-02,14
2010-03,10
2010-04,11
2010-05,11
2010-06,11
2010-07,5
2010-08,7
2010-09,0
2010-10,4
2010-11,13
2010-12,7
2011-01,6
2011-02,4
2011-03,10
2011-04,12
2011-05,13
2011-06,8
2011-07,10
2011-08,4
2011-09,7
2011-10,17
2011-11,9
2011-12,3
2012-01,14
2012-02,6
2012-03,6
2012-04,6
2012-05,7
2012-06,11
2012-07,8
2012-08,7
2012-09,9
2012-10,5
2012-11,5
2012-12,5
2013-01,3
2013-02,11
2013-03,5
2013-04,14
2013-05,13
2013-06,5
2013-07,9
2013-08,5
2013-09,7
2013-10,6
2013-11,6
2013-12,5
2014-01,5
2014-02,7
2014-03,8
2014-04,4
2014-05,5
2014-06,5
2014-07,5
2014-08,6
2014-09,2
2014-10,6
2014-11,6
2014-12,4
2015-01,5
2015-02,7
2015-03,5
2015-04,6
2015-05,9
2015-06,5
2015-07,4
2015-08,10
2015-09,4
2015-10,5
2015-11,4
2015-12,8
2016-01,7
2016-02,8
2016-03,5
2016-04,6
2016-05,9
2016-06,3
2016-07,2
2016-08,3
2016-09,11
2016-10,11
2016-11,2
2016-12,7
2017-01,5
2017-02,6
2017-03,3
2017-04,5
2017-05,8
2017-06,7
2017-07,8
2017-08,5
2017-09,6
2017-10,6
2017-11,4
2017-12,4
2018-01,8
2018-02,6
2018-03,7
2018-04,7
2018-05,3
2018-06,3
2018-07,4
2018-08,3
2018-09,3
2018-10,13
