Category: All categories

Month,the great barrier reef coral bleaching: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,100
2004-07,42
2004-08,0
2004-09,36
2004-10,37
2004-11,0
2004-12,34
2005-01,0
2005-02,0
2005-03,0
2005-04,30
2005-05,0
2005-06,52
2005-07,0
2005-08,26
2005-09,35
2005-10,22
2005-11,44
2005-12,0
2006-01,0
2006-02,20
2006-03,25
2006-04,0
2006-05,49
2006-06,17
2006-07,0
2006-08,0
2006-09,15
2006-10,21
2006-11,13
2006-12,0
2007-01,0
2007-02,13
2007-03,22
2007-04,18
2007-05,40
2007-06,11
2007-07,10
2007-08,29
2007-09,14
2007-10,13
2007-11,16
2007-12,9
2008-01,8
2008-02,8
2008-03,15
2008-04,7
2008-05,15
2008-06,7
2008-07,7
2008-08,7
2008-09,13
2008-10,18
2008-11,13
2008-12,13
2009-01,9
2009-02,6
2009-03,19
2009-04,8
2009-05,16
2009-06,18
2009-07,21
2009-08,19
2009-09,10
2009-10,9
2009-11,21
2009-12,5
2010-01,4
2010-02,5
2010-03,12
2010-04,11
2010-05,13
2010-06,9
2010-07,6
2010-08,12
2010-09,15
2010-10,20
2010-11,9
2010-12,4
2011-01,3
2011-02,5
2011-03,12
2011-04,8
2011-05,9
2011-06,13
2011-07,9
2011-08,3
2011-09,7
2011-10,18
2011-11,14
2011-12,0
2012-01,7
2012-02,5
2012-03,7
2012-04,5
2012-05,15
2012-06,2
2012-07,2
2012-08,13
2012-09,11
2012-10,8
2012-11,12
2012-12,0
2013-01,2
2013-02,10
2013-03,7
2013-04,12
2013-05,10
2013-06,6
2013-07,6
2013-08,11
2013-09,8
2013-10,15
2013-11,7
2013-12,8
2014-01,6
2014-02,10
2014-03,12
2014-04,9
2014-05,15
2014-06,13
2014-07,4
2014-08,8
2014-09,6
2014-10,11
2014-11,7
2014-12,8
2015-01,5
2015-02,11
2015-03,10
2015-04,3
2015-05,6
2015-06,11
2015-07,8
2015-08,7
2015-09,10
2015-10,10
2015-11,11
2015-12,8
2016-01,5
2016-02,7
2016-03,14
2016-04,22
2016-05,34
2016-06,27
2016-07,8
2016-08,23
2016-09,22
2016-10,66
2016-11,40
2016-12,20
2017-01,11
2017-02,26
2017-03,31
2017-04,37
2017-05,42
2017-06,22
2017-07,17
2017-08,30
2017-09,33
2017-10,26
2017-11,35
2017-12,11
2018-01,12
2018-02,21
2018-03,35
2018-04,22
2018-05,38
2018-06,13
2018-07,12
2018-08,24
2018-09,28
2018-10,15
