Category: All categories

Month,the great barrier reef dying: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,36
2005-03,0
2005-04,34
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,22
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,17
2006-10,16
2006-11,15
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,13
2007-05,12
2007-06,12
2007-07,0
2007-08,17
2007-09,0
2007-10,0
2007-11,9
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,8
2008-08,0
2008-09,0
2008-10,7
2008-11,0
2008-12,0
2009-01,13
2009-02,0
2009-03,9
2009-04,6
2009-05,6
2009-06,6
2009-07,0
2009-08,6
2009-09,6
2009-10,5
2009-11,5
2009-12,0
2010-01,10
2010-02,0
2010-03,5
2010-04,7
2010-05,5
2010-06,5
2010-07,0
2010-08,4
2010-09,4
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,4
2011-03,7
2011-04,4
2011-05,5
2011-06,4
2011-07,4
2011-08,0
2011-09,3
2011-10,3
2011-11,3
2011-12,5
2012-01,3
2012-02,0
2012-03,0
2012-04,3
2012-05,5
2012-06,0
2012-07,3
2012-08,3
2012-09,4
2012-10,6
2012-11,10
2012-12,2
2013-01,3
2013-02,2
2013-03,7
2013-04,7
2013-05,3
2013-06,5
2013-07,2
2013-08,2
2013-09,4
2013-10,2
2013-11,7
2013-12,0
2014-01,4
2014-02,6
2014-03,4
2014-04,2
2014-05,5
2014-06,5
2014-07,2
2014-08,3
2014-09,2
2014-10,2
2014-11,2
2014-12,0
2015-01,2
2015-02,4
2015-03,2
2015-04,3
2015-05,9
2015-06,6
2015-07,4
2015-08,3
2015-09,3
2015-10,4
2015-11,2
2015-12,3
2016-01,3
2016-02,3
2016-03,2
2016-04,14
2016-05,15
2016-06,11
2016-07,8
2016-08,8
2016-09,11
2016-10,100
2016-11,31
2016-12,28
2017-01,23
2017-02,34
2017-03,48
2017-04,41
2017-05,33
2017-06,23
2017-07,36
2017-08,26
2017-09,19
2017-10,22
2017-11,23
2017-12,11
2018-01,25
2018-02,24
2018-03,27
2018-04,38
2018-05,44
2018-06,17
2018-07,15
2018-08,29
2018-09,33
2018-10,20
