Category: All categories

Month,types of coral reefs: (Worldwide)
2004-01,16
2004-02,32
2004-03,100
2004-04,23
2004-05,20
2004-06,67
2004-07,0
2004-08,13
2004-09,18
2004-10,43
2004-11,12
2004-12,11
2005-01,20
2005-02,21
2005-03,53
2005-04,30
2005-05,35
2005-06,31
2005-07,18
2005-08,21
2005-09,8
2005-10,11
2005-11,15
2005-12,25
2006-01,13
2006-02,26
2006-03,22
2006-04,30
2006-05,27
2006-06,9
2006-07,6
2006-08,11
2006-09,18
2006-10,19
2006-11,18
2006-12,9
2007-01,18
2007-02,15
2007-03,13
2007-04,21
2007-05,20
2007-06,7
2007-07,5
2007-08,13
2007-09,19
2007-10,18
2007-11,16
2007-12,10
2008-01,19
2008-02,15
2008-03,7
2008-04,25
2008-05,21
2008-06,11
2008-07,8
2008-08,9
2008-09,8
2008-10,18
2008-11,24
2008-12,14
2009-01,13
2009-02,13
2009-03,19
2009-04,12
2009-05,23
2009-06,18
2009-07,4
2009-08,9
2009-09,9
2009-10,16
2009-11,14
2009-12,16
2010-01,12
2010-02,20
2010-03,18
2010-04,24
2010-05,28
2010-06,10
2010-07,6
2010-08,7
2010-09,8
2010-10,13
2010-11,13
2010-12,15
2011-01,8
2011-02,14
2011-03,12
2011-04,14
2011-05,17
2011-06,14
2011-07,6
2011-08,4
2011-09,13
2011-10,12
2011-11,18
2011-12,10
2012-01,11
2012-02,12
2012-03,17
2012-04,15
2012-05,21
2012-06,7
2012-07,5
2012-08,8
2012-09,12
2012-10,13
2012-11,19
2012-12,8
2013-01,8
2013-02,17
2013-03,14
2013-04,15
2013-05,17
2013-06,7
2013-07,6
2013-08,7
2013-09,13
2013-10,11
2013-11,19
2013-12,7
2014-01,8
2014-02,15
2014-03,17
2014-04,15
2014-05,14
2014-06,10
2014-07,6
2014-08,5
2014-09,14
2014-10,12
2014-11,16
2014-12,9
2015-01,11
2015-02,13
2015-03,18
2015-04,13
2015-05,17
2015-06,7
2015-07,5
2015-08,8
2015-09,10
2015-10,14
2015-11,14
2015-12,11
2016-01,11
2016-02,16
2016-03,13
2016-04,16
2016-05,15
2016-06,8
2016-07,5
2016-08,4
2016-09,11
2016-10,11
2016-11,13
2016-12,7
2017-01,13
2017-02,12
2017-03,12
2017-04,14
2017-05,13
2017-06,5
2017-07,3
2017-08,5
2017-09,7
2017-10,12
2017-11,14
2017-12,8
2018-01,8
2018-02,12
2018-03,17
2018-04,13
2018-05,15
2018-06,7
2018-07,3
2018-08,6
2018-09,9
2018-10,10
