Category: All categories

Month,what are coral reefs: (Worldwide)
2004-01,30
2004-02,30
2004-03,50
2004-04,39
2004-05,100
2004-06,25
2004-07,17
2004-08,24
2004-09,60
2004-10,62
2004-11,31
2004-12,35
2005-01,37
2005-02,46
2005-03,77
2005-04,62
2005-05,97
2005-06,16
2005-07,11
2005-08,11
2005-09,29
2005-10,46
2005-11,59
2005-12,31
2006-01,47
2006-02,32
2006-03,34
2006-04,34
2006-05,44
2006-06,29
2006-07,21
2006-08,27
2006-09,19
2006-10,32
2006-11,34
2006-12,23
2007-01,23
2007-02,27
2007-03,35
2007-04,29
2007-05,40
2007-06,20
2007-07,6
2007-08,8
2007-09,6
2007-10,39
2007-11,34
2007-12,18
2008-01,29
2008-02,28
2008-03,30
2008-04,46
2008-05,33
2008-06,26
2008-07,17
2008-08,15
2008-09,34
2008-10,43
2008-11,49
2008-12,29
2009-01,29
2009-02,41
2009-03,44
2009-04,52
2009-05,38
2009-06,27
2009-07,15
2009-08,14
2009-09,32
2009-10,47
2009-11,50
2009-12,34
2010-01,39
2010-02,48
2010-03,62
2010-04,81
2010-05,63
2010-06,22
2010-07,11
2010-08,15
2010-09,47
2010-10,40
2010-11,50
2010-12,33
2011-01,36
2011-02,42
2011-03,53
2011-04,47
2011-05,65
2011-06,33
2011-07,23
2011-08,24
2011-09,40
2011-10,48
2011-11,73
2011-12,33
2012-01,41
2012-02,55
2012-03,55
2012-04,56
2012-05,70
2012-06,24
2012-07,11
2012-08,20
2012-09,57
2012-10,50
2012-11,50
2012-12,31
2013-01,40
2013-02,56
2013-03,42
2013-04,66
2013-05,59
2013-06,25
2013-07,17
2013-08,25
2013-09,49
2013-10,50
2013-11,55
2013-12,34
2014-01,31
2014-02,53
2014-03,47
2014-04,58
2014-05,65
2014-06,27
2014-07,18
2014-08,21
2014-09,51
2014-10,53
2014-11,47
2014-12,35
2015-01,38
2015-02,52
2015-03,58
2015-04,48
2015-05,63
2015-06,24
2015-07,16
2015-08,24
2015-09,39
2015-10,53
2015-11,56
2015-12,39
2016-01,38
2016-02,52
2016-03,54
2016-04,69
2016-05,58
2016-06,25
2016-07,15
2016-08,18
2016-09,32
2016-10,52
2016-11,60
2016-12,39
2017-01,42
2017-02,53
2017-03,61
2017-04,60
2017-05,67
2017-06,31
2017-07,15
2017-08,18
2017-09,31
2017-10,56
2017-11,64
2017-12,45
2018-01,39
2018-02,65
2018-03,68
2018-04,67
2018-05,76
2018-06,25
2018-07,17
2018-08,20
2018-09,43
2018-10,40
