Category: All categories

Month,what causes coral bleaching: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,89
2005-12,0
2006-01,0
2006-02,79
2006-03,0
2006-04,0
2006-05,67
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,57
2006-11,0
2006-12,0
2007-01,100
2007-02,0
2007-03,46
2007-04,48
2007-05,41
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,37
2008-01,0
2008-02,0
2008-03,31
2008-04,30
2008-05,30
2008-06,30
2008-07,0
2008-08,60
2008-09,28
2008-10,25
2008-11,26
2008-12,26
2009-01,24
2009-02,50
2009-03,22
2009-04,23
2009-05,22
2009-06,22
2009-07,0
2009-08,22
2009-09,20
2009-10,19
2009-11,29
2009-12,38
2010-01,18
2010-02,38
2010-03,33
2010-04,44
2010-05,17
2010-06,35
2010-07,17
2010-08,40
2010-09,31
2010-10,29
2010-11,36
2010-12,22
2011-01,27
2011-02,28
2011-03,56
2011-04,61
2011-05,19
2011-06,13
2011-07,13
2011-08,18
2011-09,23
2011-10,28
2011-11,17
2011-12,33
2012-01,36
2012-02,53
2012-03,25
2012-04,31
2012-05,10
2012-06,30
2012-07,10
2012-08,0
2012-09,49
2012-10,18
2012-11,27
2012-12,18
2013-01,25
2013-02,62
2013-03,40
2013-04,16
2013-05,47
2013-06,12
2013-07,8
2013-08,16
2013-09,19
2013-10,22
2013-11,34
2013-12,26
2014-01,24
2014-02,50
2014-03,31
2014-04,32
2014-05,28
2014-06,12
2014-07,16
2014-08,0
2014-09,19
2014-10,42
2014-11,18
2014-12,18
2015-01,20
2015-02,47
2015-03,33
2015-04,14
2015-05,33
2015-06,23
2015-07,20
2015-08,6
2015-09,6
2015-10,39
2015-11,50
2015-12,28
2016-01,13
2016-02,40
2016-03,47
2016-04,61
2016-05,47
2016-06,46
2016-07,27
2016-08,17
2016-09,27
2016-10,77
2016-11,67
2016-12,62
2017-01,33
2017-02,77
2017-03,76
2017-04,70
2017-05,72
2017-06,51
2017-07,47
2017-08,18
2017-09,37
2017-10,69
2017-11,70
2017-12,44
2018-01,30
2018-02,78
2018-03,68
2018-04,43
2018-05,97
2018-06,28
2018-07,19
2018-08,38
2018-09,50
2018-10,93
