Category: All categories

Month,what is a coral reef: (Worldwide)
2004-01,25
2004-02,100
2004-03,31
2004-04,48
2004-05,51
2004-06,41
2004-07,22
2004-08,0
2004-09,46
2004-10,19
2004-11,47
2004-12,53
2005-01,38
2005-02,40
2005-03,68
2005-04,69
2005-05,73
2005-06,47
2005-07,14
2005-08,20
2005-09,42
2005-10,40
2005-11,45
2005-12,22
2006-01,39
2006-02,45
2006-03,30
2006-04,32
2006-05,76
2006-06,26
2006-07,9
2006-08,16
2006-09,27
2006-10,43
2006-11,31
2006-12,21
2007-01,22
2007-02,26
2007-03,37
2007-04,33
2007-05,41
2007-06,13
2007-07,5
2007-08,5
2007-09,27
2007-10,22
2007-11,19
2007-12,18
2008-01,26
2008-02,22
2008-03,36
2008-04,30
2008-05,35
2008-06,6
2008-07,13
2008-08,15
2008-09,35
2008-10,30
2008-11,33
2008-12,20
2009-01,24
2009-02,46
2009-03,43
2009-04,33
2009-05,37
2009-06,30
2009-07,4
2009-08,25
2009-09,37
2009-10,36
2009-11,30
2009-12,31
2010-01,25
2010-02,26
2010-03,48
2010-04,52
2010-05,45
2010-06,21
2010-07,10
2010-08,21
2010-09,30
2010-10,42
2010-11,42
2010-12,21
2011-01,38
2011-02,35
2011-03,42
2011-04,41
2011-05,46
2011-06,25
2011-07,14
2011-08,17
2011-09,29
2011-10,36
2011-11,37
2011-12,26
2012-01,39
2012-02,33
2012-03,51
2012-04,43
2012-05,72
2012-06,28
2012-07,10
2012-08,24
2012-09,45
2012-10,39
2012-11,34
2012-12,33
2013-01,32
2013-02,52
2013-03,46
2013-04,62
2013-05,47
2013-06,23
2013-07,14
2013-08,20
2013-09,52
2013-10,42
2013-11,52
2013-12,31
2014-01,33
2014-02,46
2014-03,53
2014-04,42
2014-05,61
2014-06,30
2014-07,13
2014-08,21
2014-09,32
2014-10,44
2014-11,43
2014-12,37
2015-01,41
2015-02,54
2015-03,52
2015-04,47
2015-05,63
2015-06,34
2015-07,14
2015-08,20
2015-09,42
2015-10,48
2015-11,54
2015-12,35
2016-01,31
2016-02,46
2016-03,49
2016-04,58
2016-05,51
2016-06,26
2016-07,8
2016-08,17
2016-09,36
2016-10,50
2016-11,45
2016-12,31
2017-01,38
2017-02,45
2017-03,60
2017-04,54
2017-05,60
2017-06,25
2017-07,17
2017-08,21
2017-09,28
2017-10,45
2017-11,61
2017-12,36
2018-01,41
2018-02,46
2018-03,56
2018-04,58
2018-05,63
2018-06,28
2018-07,15
2018-08,27
2018-09,44
2018-10,44
