Category: All categories

Month,what is a coral: (Worldwide)
2004-01,24
2004-02,100
2004-03,47
2004-04,45
2004-05,39
2004-06,20
2004-07,17
2004-08,15
2004-09,46
2004-10,18
2004-11,50
2004-12,27
2005-01,26
2005-02,40
2005-03,52
2005-04,55
2005-05,46
2005-06,13
2005-07,21
2005-08,13
2005-09,23
2005-10,41
2005-11,47
2005-12,21
2006-01,15
2006-02,25
2006-03,24
2006-04,35
2006-05,40
2006-06,29
2006-07,10
2006-08,9
2006-09,24
2006-10,25
2006-11,24
2006-12,19
2007-01,25
2007-02,20
2007-03,32
2007-04,29
2007-05,29
2007-06,22
2007-07,9
2007-08,10
2007-09,28
2007-10,25
2007-11,18
2007-12,23
2008-01,26
2008-02,27
2008-03,27
2008-04,26
2008-05,35
2008-06,19
2008-07,16
2008-08,16
2008-09,19
2008-10,37
2008-11,29
2008-12,31
2009-01,27
2009-02,29
2009-03,35
2009-04,38
2009-05,40
2009-06,28
2009-07,16
2009-08,26
2009-09,44
2009-10,37
2009-11,44
2009-12,27
2010-01,31
2010-02,36
2010-03,48
2010-04,52
2010-05,51
2010-06,31
2010-07,29
2010-08,24
2010-09,32
2010-10,42
2010-11,47
2010-12,30
2011-01,40
2011-02,41
2011-03,51
2011-04,55
2011-05,57
2011-06,33
2011-07,26
2011-08,33
2011-09,40
2011-10,38
2011-11,45
2011-12,38
2012-01,39
2012-02,49
2012-03,57
2012-04,59
2012-05,67
2012-06,34
2012-07,28
2012-08,40
2012-09,47
2012-10,50
2012-11,48
2012-12,42
2013-01,50
2013-02,54
2013-03,57
2013-04,60
2013-05,62
2013-06,37
2013-07,30
2013-08,36
2013-09,50
2013-10,52
2013-11,50
2013-12,37
2014-01,45
2014-02,58
2014-03,62
2014-04,64
2014-05,69
2014-06,40
2014-07,28
2014-08,32
2014-09,50
2014-10,53
2014-11,51
2014-12,44
2015-01,51
2015-02,58
2015-03,62
2015-04,70
2015-05,68
2015-06,49
2015-07,30
2015-08,42
2015-09,53
2015-10,60
2015-11,62
2015-12,50
2016-01,46
2016-02,53
2016-03,62
2016-04,73
2016-05,64
2016-06,42
2016-07,24
2016-08,32
2016-09,44
2016-10,57
2016-11,46
2016-12,43
2017-01,48
2017-02,62
2017-03,73
2017-04,62
2017-05,68
2017-06,34
2017-07,31
2017-08,36
2017-09,56
2017-10,63
2017-11,61
2017-12,48
2018-01,48
2018-02,61
2018-03,63
2018-04,72
2018-05,71
2018-06,38
2018-07,29
2018-08,41
2018-09,50
2018-10,64
