Category: All categories

Month,what is ocean acidification: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,17
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,9
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,8
2008-04,8
2008-05,0
2008-06,0
2008-07,0
2008-08,8
2008-09,17
2008-10,9
2008-11,7
2008-12,7
2009-01,6
2009-02,6
2009-03,14
2009-04,6
2009-05,6
2009-06,11
2009-07,6
2009-08,11
2009-09,5
2009-10,12
2009-11,5
2009-12,10
2010-01,13
2010-02,12
2010-03,8
2010-04,27
2010-05,9
2010-06,4
2010-07,4
2010-08,4
2010-09,4
2010-10,11
2010-11,13
2010-12,13
2011-01,13
2011-02,9
2011-03,9
2011-04,8
2011-05,11
2011-06,10
2011-07,6
2011-08,9
2011-09,12
2011-10,8
2011-11,13
2011-12,14
2012-01,17
2012-02,13
2012-03,28
2012-04,18
2012-05,16
2012-06,9
2012-07,10
2012-08,14
2012-09,18
2012-10,24
2012-11,23
2012-12,20
2013-01,14
2013-02,25
2013-03,17
2013-04,18
2013-05,22
2013-06,8
2013-07,5
2013-08,11
2013-09,16
2013-10,40
2013-11,31
2013-12,25
2014-01,18
2014-02,23
2014-03,30
2014-04,21
2014-05,41
2014-06,20
2014-07,7
2014-08,17
2014-09,38
2014-10,30
2014-11,42
2014-12,32
2015-01,13
2015-02,29
2015-03,29
2015-04,42
2015-05,50
2015-06,25
2015-07,17
2015-08,10
2015-09,26
2015-10,33
2015-11,46
2015-12,48
2016-01,39
2016-02,29
2016-03,49
2016-04,51
2016-05,48
2016-06,22
2016-07,10
2016-08,9
2016-09,31
2016-10,39
2016-11,49
2016-12,43
2017-01,29
2017-02,40
2017-03,53
2017-04,49
2017-05,79
2017-06,26
2017-07,9
2017-08,17
2017-09,36
2017-10,62
2017-11,61
2017-12,55
2018-01,38
2018-02,58
2018-03,61
2018-04,73
2018-05,100
2018-06,42
2018-07,11
2018-08,17
2018-09,60
2018-10,42
