Category: All categories

Month,why are coral reefs dying: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,100
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,80
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,57
2006-01,0
2006-02,0
2006-03,0
2006-04,49
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,36
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,28
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,22
2007-12,0
2008-01,0
2008-02,0
2008-03,41
2008-04,40
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,17
2008-11,0
2008-12,0
2009-01,0
2009-02,17
2009-03,0
2009-04,15
2009-05,15
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,12
2009-11,19
2009-12,13
2010-01,24
2010-02,12
2010-03,11
2010-04,12
2010-05,34
2010-06,12
2010-07,11
2010-08,0
2010-09,0
2010-10,10
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,29
2011-04,0
2011-05,21
2011-06,9
2011-07,0
2011-08,0
2011-09,8
2011-10,7
2011-11,11
2011-12,0
2012-01,10
2012-02,0
2012-03,7
2012-04,27
2012-05,6
2012-06,7
2012-07,10
2012-08,6
2012-09,6
2012-10,9
2012-11,21
2012-12,6
2013-01,16
2013-02,9
2013-03,16
2013-04,5
2013-05,8
2013-06,8
2013-07,5
2013-08,5
2013-09,5
2013-10,14
2013-11,10
2013-12,5
2014-01,18
2014-02,5
2014-03,4
2014-04,14
2014-05,7
2014-06,16
2014-07,0
2014-08,0
2014-09,12
2014-10,9
2014-11,5
2014-12,14
2015-01,4
2015-02,10
2015-03,9
2015-04,7
2015-05,13
2015-06,0
2015-07,4
2015-08,4
2015-09,6
2015-10,16
2015-11,6
2015-12,4
2016-01,8
2016-02,7
2016-03,8
2016-04,13
2016-05,15
2016-06,7
2016-07,0
2016-08,5
2016-09,11
2016-10,13
2016-11,13
2016-12,14
2017-01,22
2017-02,21
2017-03,26
2017-04,18
2017-05,33
2017-06,10
2017-07,14
2017-08,12
2017-09,8
2017-10,11
2017-11,15
2017-12,14
2018-01,7
2018-02,16
2018-03,12
2018-04,22
2018-05,26
2018-06,13
2018-07,15
2018-08,9
2018-09,15
2018-10,27
