Category: All categories

Month,why are coral reefs important: (Worldwide)
2004-01,0
2004-02,100
2004-03,0
2004-04,0
2004-05,62
2004-06,0
2004-07,0
2004-08,40
2004-09,37
2004-10,0
2004-11,38
2004-12,0
2005-01,30
2005-02,32
2005-03,55
2005-04,31
2005-05,27
2005-06,0
2005-07,0
2005-08,0
2005-09,24
2005-10,23
2005-11,23
2005-12,0
2006-01,0
2006-02,0
2006-03,34
2006-04,37
2006-05,17
2006-06,0
2006-07,18
2006-08,16
2006-09,0
2006-10,29
2006-11,42
2006-12,14
2007-01,31
2007-02,46
2007-03,40
2007-04,36
2007-05,26
2007-06,11
2007-07,0
2007-08,0
2007-09,10
2007-10,17
2007-11,17
2007-12,14
2008-01,32
2008-02,8
2008-03,15
2008-04,26
2008-05,11
2008-06,23
2008-07,7
2008-08,7
2008-09,7
2008-10,31
2008-11,7
2008-12,20
2009-01,21
2009-02,9
2009-03,17
2009-04,9
2009-05,14
2009-06,22
2009-07,0
2009-08,5
2009-09,15
2009-10,31
2009-11,24
2009-12,22
2010-01,18
2010-02,19
2010-03,34
2010-04,31
2010-05,24
2010-06,16
2010-07,4
2010-08,4
2010-09,21
2010-10,24
2010-11,18
2010-12,11
2011-01,27
2011-02,19
2011-03,38
2011-04,25
2011-05,28
2011-06,19
2011-07,10
2011-08,9
2011-09,31
2011-10,25
2011-11,41
2011-12,33
2012-01,18
2012-02,23
2012-03,25
2012-04,37
2012-05,37
2012-06,14
2012-07,4
2012-08,17
2012-09,25
2012-10,27
2012-11,42
2012-12,22
2013-01,21
2013-02,29
2013-03,28
2013-04,28
2013-05,34
2013-06,9
2013-07,14
2013-08,8
2013-09,20
2013-10,26
2013-11,23
2013-12,19
2014-01,14
2014-02,28
2014-03,32
2014-04,22
2014-05,33
2014-06,9
2014-07,10
2014-08,15
2014-09,25
2014-10,27
2014-11,41
2014-12,28
2015-01,18
2015-02,27
2015-03,24
2015-04,38
2015-05,32
2015-06,12
2015-07,6
2015-08,14
2015-09,20
2015-10,32
2015-11,25
2015-12,28
2016-01,20
2016-02,27
2016-03,30
2016-04,41
2016-05,25
2016-06,7
2016-07,4
2016-08,10
2016-09,15
2016-10,22
2016-11,32
2016-12,26
2017-01,18
2017-02,29
2017-03,30
2017-04,24
2017-05,28
2017-06,17
2017-07,8
2017-08,14
2017-09,20
2017-10,32
2017-11,32
2017-12,24
2018-01,26
2018-02,30
2018-03,39
2018-04,39
2018-05,36
2018-06,9
2018-07,6
2018-08,12
2018-09,15
2018-10,34
