Month,damaged coral: (Worldwide),damaged reefs: (Worldwide),reef damage: (Worldwide),coral disease: (Worldwide),reef disease: (Worldwide),coral reef damage: (Worldwide),coral reef death: (Worldwide),coral reef dying: (Worldwide),coral reefs dying: (Worldwide),reef death: (Worldwide),coral death: (Worldwide),dying coral: (Worldwide),dead coral: (Worldwide),dead reef: (Worldwide),dead coral reef: (Worldwide),coral damage: (Worldwide),why are coral reefs dying: (Worldwide),why are the coral reefs dying: (Worldwide)
2004-01,0,0,50,54,61,82,0,0,81,38,100,41,24,2,0,13,0,0
2004-02,51,0,30,81,61,81,0,40,80,0,71,61,20,2,0,46,0,0
2004-03,96,0,50,100,75,0,0,0,100,71,88,76,10,0,0,32,0,0
2004-04,49,67,19,77,58,0,100,0,0,37,54,0,12,0,23,19,0,0
2004-05,43,0,50,66,50,45,0,100,66,63,70,50,10,3,0,43,0,0
2004-06,85,0,25,44,100,0,0,0,66,32,0,34,27,3,20,22,0,0
2004-07,0,0,0,70,53,0,0,0,70,33,49,35,0,0,0,0,0,0
2004-08,0,57,16,32,49,87,0,0,65,92,69,33,0,1,0,79,0,0
2004-09,38,52,74,40,45,80,39,30,0,57,32,30,12,1,0,53,0,0
2004-10,0,0,31,41,46,41,40,0,0,29,22,31,21,2,18,15,0,100
2004-11,0,0,15,81,46,0,40,31,0,72,43,31,15,1,18,20,100,100
2004-12,73,0,56,38,0,38,37,0,0,54,60,0,6,3,0,23,0,0
2005-01,64,86,43,49,74,100,32,0,49,35,35,25,10,2,15,44,0,0
2005-02,100,46,26,61,39,35,0,26,0,25,64,53,10,1,16,21,0,0
2005-03,28,38,55,29,33,44,28,0,44,62,93,45,13,2,13,28,0,0
2005-04,32,0,18,58,74,33,0,25,49,47,61,100,7,0,0,36,80,0
2005-05,0,38,16,29,97,58,0,0,43,51,38,44,11,3,19,21,0,0
2005-06,0,0,27,36,49,58,28,0,43,51,38,44,9,1,0,25,0,0
2005-07,0,0,22,15,0,89,0,22,0,63,23,45,7,2,0,11,0,0
2005-08,0,0,42,56,32,57,0,0,0,40,37,22,15,1,0,24,0,0
2005-09,25,0,24,39,44,39,0,19,38,46,34,39,19,3,11,6,0,0
2005-10,23,32,100,43,41,50,0,18,0,43,58,0,11,1,0,59,0,0
2005-11,23,32,72,48,68,61,0,18,36,26,32,37,7,1,22,26,0,0
2005-12,23,0,13,47,26,24,69,18,0,50,31,18,9,1,0,11,57,58
2006-01,20,54,27,63,47,32,0,0,31,22,50,24,14,1,19,18,0,0
2006-02,21,28,40,38,48,54,21,16,0,23,51,16,5,3,10,24,0,0
2006-03,52,48,34,41,41,37,18,14,0,71,62,34,11,1,8,29,0,0
2006-04,0,26,22,30,45,60,19,15,0,57,53,15,9,1,0,22,49,0
