Month,great barrier reef damage: (Worldwide),great barrier reef climate change: (Worldwide),great barrier reef death: (Worldwide),great barrier reef dead: (Worldwide),the great barrier reef dead: (Worldwide),how dead is the great barrier reef: (Worldwide),how much of the great barrier reef is dead: (Worldwide),the great barrier reef is dead: (Worldwide),why is the great barrier reef dead: (Worldwide),is the great barrier reef really dead: (Worldwide),great barrier reef dying: (Worldwide),the great barrier reef dying: (Worldwide),why is the great barrier reef dying: (Worldwide),the great barrier reef is dying: (Worldwide),is great barrier reef dying: (Worldwide),great barrier reef ocean acidification: (Worldwide),great barrier reef global warming: (Worldwide),death of the great barrier reef: (Worldwide),great coral reef dead: (Worldwide),the great coral reef dead: (Worldwide),great barrier reef dead coral: (Worldwide)
2004-01,64,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02,63,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2004-03,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,62,0,0,0,0
2004-04,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
2004-05,78,61,39,0,0,0,0,0,0,0,25,0,0,0,0,0,83,0,0,0,0
2004-06,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0
2004-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-08,51,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0
2004-09,47,0,70,1,0,94,0,7,0,0,0,0,0,0,0,0,75,0,0,0,0
2004-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,46,0,0
2004-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0
2004-12,0,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-02,41,0,31,0,0,0,0,0,0,0,20,36,0,0,0,0,65,100,0,0,0
2005-03,34,40,0,0,0,0,0,0,0,0,0,0,0,0,36,0,27,0,0,0,0
2005-04,0,0,29,1,4,0,0,0,0,0,19,34,0,0,0,0,31,94,0,0,0
2005-05,34,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
2005-06,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,27,83,0,0,0
2005-07,52,41,26,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
2005-08,100,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
2005-09,45,0,23,0,3,0,0,0,100,0,0,0,0,0,0,0,0,74,0,0,0
2005-10,72,34,32,0,0,0,0,0,0,0,14,0,0,0,0,0,23,0,0,0,0
2005-11,28,100,21,1,3,0,0,0,0,0,14,0,0,34,30,0,34,69,0,0,0
2005-12,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
2006-01,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,19,60,0,0,28
2006-02,50,0,0,0,0,0,0,0,0,0,12,22,61,0,0,0,20,0,0,0,0
2006-03,32,0,16,0,0,0,0,0,0,0,10,0,0,0,0,0,34,0,0,0,0
2006-04,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
2006-05,21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
2006-06,22,0,33,1,2,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
2006-07,67,26,0,1,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
2006-08,21,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
2006-09,0,23,59,1,2,0,0,0,0,0,0,17,48,0,21,0,32,49,0,62,0
2006-10,18,74,14,1,2,0,0,0,0,0,9,16,0,0,0,0,22,0,17,0,21
2006-11,18,0,0,<1,0,0,0,0,0,0,8,15,0,0,0,0,84,0,17,0,20
2006-12,18,21,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01,16,37,0,<1,0,0,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0
2007-02,33,19,0,0,0,0,0,0,0,0,12,0,0,0,0,0,40,0,0,0,0
2007-03,14,68,16,<1,0,0,0,0,0,0,7,0,0,0,0,0,17,35,0,0,0
2007-04,15,27,0,0,2,0,0,0,0,0,7,13,37,0,16,0,73,0,0,0,0
2007-05,46,38,0,0,0,0,0,0,0,0,6,12,32,31,28,0,41,32,0,0,0
2007-06,14,32,0,0,3,0,0,0,0,0,13,12,100,49,14,0,27,0,13,0,0
2007-07,13,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,13,0,0
2007-08,19,15,9,1,0,0,0,0,0,0,12,17,31,15,13,0,20,0,0,40,0
2007-09,0,94,9,<1,0,0,0,0,0,0,6,0,0,0,0,0,24,30,0,0,0
