Month,coral: (Worldwide),reef: (Worldwide),coral reef: (Worldwide),reef diving: (Worldwide),reef scuba: (Worldwide),why are coral reefs important: (Worldwide),coral reef fish: (Worldwide),coral reef habitat: (Worldwide),coral reef animals: (Worldwide),what are coral reefs: (Worldwide),what is a coral reef: (Worldwide),what are corals: (Worldwide),what is a coral: (Worldwide),types of coral reefs: (Worldwide),where are coral reefs found: (Worldwide),coral reef ecosystem: (Worldwide),what is a coral reef ecosystem: (Worldwide)
2004-01,91,84,82,100,96,0,68,100,83,30,25,35,24,16,40,54,0
2004-02,100,97,96,61,86,100,87,99,77,30,100,70,100,32,0,81,0
2004-03,100,100,92,89,71,0,100,0,55,50,31,86,47,100,100,33,0
2004-04,94,87,91,47,55,0,86,71,73,39,48,100,45,23,0,39,0
2004-05,96,87,100,61,43,62,93,81,100,100,51,58,39,20,49,100,0
2004-06,88,82,63,41,83,0,72,82,42,25,41,29,20,67,0,45,0
2004-07,86,75,51,60,100,0,31,43,11,17,22,0,17,0,0,35,0
2004-08,92,78,56,69,77,40,55,40,10,24,0,28,15,13,0,44,0
2004-09,83,71,67,66,71,37,50,37,66,60,46,0,46,18,0,40,0
2004-10,83,70,74,48,47,0,59,75,58,62,19,0,18,43,46,72,0
2004-11,81,65,76,54,44,38,86,38,63,31,47,26,50,12,61,41,0
2004-12,76,61,61,39,44,0,43,69,31,35,53,25,27,11,56,38,0
2005-01,88,78,75,54,56,30,61,46,51,37,38,64,26,20,24,50,0
2005-02,90,92,73,55,59,32,69,32,70,46,40,0,40,21,0,52,0
2005-03,95,88,76,65,62,55,56,81,55,77,68,19,52,53,22,29,0
2005-04,93,78,74,56,62,31,67,45,82,62,69,21,55,30,25,25,0
2005-05,96,86,79,72,56,27,73,53,99,97,73,19,46,35,21,86,0
2005-06,89,79,55,42,41,0,52,53,45,16,47,19,13,31,22,36,0
2005-07,88,78,49,55,47,0,28,95,28,11,14,0,21,18,0,60,0
2005-08,85,75,51,48,50,0,31,26,17,11,20,37,13,21,21,57,0
2005-09,80,63,61,54,55,24,56,24,43,29,42,0,23,8,0,45,0
2005-10,82,66,64,38,48,23,72,22,72,46,40,16,41,11,0,85,0
2005-11,79,64,61,46,56,23,64,67,60,59,45,16,47,15,36,54,0
2005-12,72,55,50,45,40,0,24,86,45,31,22,15,21,25,26,24,0
2006-01,83,70,61,58,48,0,38,77,54,47,39,14,15,13,31,26,0
2006-02,84,72,62,62,40,0,26,20,56,32,45,21,25,26,16,54,0
2006-03,87,69,64,47,45,34,48,34,56,34,30,12,24,22,20,46,0
2006-04,88,70,58,47,39,37,51,64,68,34,32,26,35,30,44,40,0
2006-05,87,71,68,40,44,17,59,67,58,44,76,24,40,27,14,64,0
