Month,great barrier reef scuba: (Worldwide),scuba diving in the great barrier reef: (Worldwide),great barrier reef: (Worldwide),great barrier reef diving: (Worldwide),great barrier reef facts: (Worldwide),what is the great barrier reef: (Worldwide)
2004-01,81,0,46,89,36,37
2004-02,32,0,70,73,43,91
2004-03,40,0,89,81,54,79
2004-04,92,0,65,100,61,78
2004-05,92,100,82,60,100,90
2004-06,79,0,65,73,35,60
2004-07,85,0,34,42,19,16
2004-08,39,49,56,78,23,59
2004-09,71,0,48,60,48,47
2004-10,73,0,57,61,43,83
2004-11,36,0,54,55,49,48
2004-12,56,0,37,45,25,45
2005-01,39,0,32,64,35,11
2005-02,62,39,48,89,65,100
2005-03,78,33,59,61,54,44
2005-04,39,37,47,89,48,39
2005-05,69,32,66,26,53,63
2005-06,43,33,45,43,54,73
2005-07,35,33,33,40,24,20
2005-08,68,0,45,55,30,48
2005-09,100,0,39,58,24,43
2005-10,29,0,41,40,29,49
2005-11,36,0,42,40,19,49
2005-12,21,0,25,35,19,20
2006-01,50,0,29,34,47,25
2006-02,51,0,36,48,43,25
2006-03,38,0,45,49,46,58
2006-04,24,22,37,33,37,47
2006-05,27,0,46,33,51,58
2006-06,51,0,31,31,15,29
2006-07,34,21,21,46,5,13
2006-08,47,20,31,66,21,21
2006-09,40,0,42,43,27,57
2006-10,41,17,33,35,14,23
2006-11,36,17,33,49,22,35
2006-12,32,0,21,28,20,16
2007-01,28,15,24,24,14,11
2007-02,42,16,31,49,28,19
2007-03,29,0,38,35,33,37
2007-04,12,15,31,29,22,31
2007-05,53,0,38,32,39,49
2007-06,42,13,29,43,29,16
2007-07,30,13,20,27,10,21
2007-08,39,12,27,19,16,24
2007-09,50,23,27,36,31,30
2007-10,42,11,28,31,20,14
2007-11,35,10,27,38,19,32
2007-12,35,11,19,25,7,17
2008-01,46,10,20,46,15,12
2008-02,24,20,23,41,16,28
2008-03,32,28,30,27,41,41
2008-04,32,14,26,29,31,32
2008-05,43,9,32,34,36,46
2008-06,32,9,23,40,19,38
2008-07,26,0,17,31,7,11
2008-08,19,9,19,19,13,18
2008-09,38,8,23,30,17,34
2008-10,36,23,25,31,25,35
2008-11,44,12,23,32,28,36
2008-12,32,0,17,29,17,17
2009-01,44,11,32,40,29,17
2009-02,32,15,28,23,36,24
2009-03,38,20,32,35,38,47
2009-04,20,11,25,30,39,45
2009-05,25,27,33,42,79,60
2009-06,38,7,25,33,36,34
