Month,coral: (Worldwide)
2004-01,90
2004-02,98
2004-03,98
2004-04,99
2004-05,99
2004-06,91
2004-07,84
2004-08,93
2004-09,83
2004-10,83
2004-11,82
2004-12,78
2005-01,87
2005-02,94
2005-03,93
2005-04,94
2005-05,95
2005-06,88
2005-07,85
2005-08,87
2005-09,80
2005-10,86
2005-11,80
2005-12,73
2006-01,85
2006-02,85
2006-03,91
2006-04,91
2006-05,87
2006-06,80
2006-07,80
2006-08,81
2006-09,75
2006-10,77
2006-11,77
2006-12,73
2007-01,82
2007-02,83
2007-03,86
2007-04,86
2007-05,85
2007-06,80
2007-07,78
2007-08,83
2007-09,79
2007-10,79
2007-11,75
2007-12,73
2008-01,82
2008-02,83
2008-03,90
2008-04,91
2008-05,86
2008-06,80
2008-07,82
2008-08,79
2008-09,76
2008-10,75
2008-11,71
2008-12,69
2009-01,78
2009-02,79
2009-03,86
2009-04,83
2009-05,80
2009-06,77
2009-07,79
2009-08,79
2009-09,77
2009-10,75
2009-11,73
2009-12,68
2010-01,78
2010-02,80
2010-03,81
2010-04,83
2010-05,81
2010-06,77
2010-07,79
2010-08,78
2010-09,72
2010-10,72
2010-11,77
2010-12,73
2011-01,80
2011-02,80
2011-03,82
2011-04,88
2011-05,84
2011-06,83
2011-07,82
2011-08,83
2011-09,79
2011-10,76
2011-11,75
2011-12,75
2012-01,81
2012-02,81
2012-03,84
2012-04,86
2012-05,84
2012-06,83
2012-07,83
2012-08,82
2012-09,79
2012-10,75
2012-11,72
2012-12,71
2013-01,79
2013-02,82
2013-03,91
2013-04,91
2013-05,89
2013-06,86
2013-07,86
2013-08,85
2013-09,78
2013-10,76
2013-11,76
2013-12,74
2014-01,84
2014-02,85
2014-03,93
2014-04,97
2014-05,89
2014-06,91
2014-07,89
2014-08,87
2014-09,79
2014-10,79
2014-11,77
2014-12,77
2015-01,84
2015-02,87
2015-03,93
2015-04,100
2015-05,91
2015-06,91
2015-07,91
2015-08,90
2015-09,81
2015-10,82
2015-11,82
2015-12,82
2016-01,91
2016-02,94
2016-03,97
2016-04,100
2016-05,95
2016-06,94
2016-07,90
2016-08,87
2016-09,84
2016-10,85
2016-11,82
2016-12,83
2017-01,87
2017-02,90
2017-03,93
2017-04,98
2017-05,93
2017-06,87
2017-07,90
2017-08,88
2017-09,92
2017-10,82
2017-11,79
2017-12,78
2018-01,83
2018-02,91
2018-03,91
2018-04,93
2018-05,89
2018-06,86
2018-07,84
2018-08,86
2018-09,79
2018-10,77
