Month,reef diving
2004-01,100
2004-02,49
2004-03,76
2004-04,54
2004-05,71
2004-06,53
2004-07,73
2004-08,61
2004-09,63
2004-10,61
2004-11,69
2004-12,58
2005-01,50
2005-02,68
2005-03,58
2005-04,65
2005-05,68
2005-06,53
2005-07,54
2005-08,51
2005-09,44
2005-10,34
2005-11,47
2005-12,38
2006-01,48
2006-02,55
2006-03,44
2006-04,42
2006-05,33
2006-06,41
2006-07,39
2006-08,48
2006-09,45
2006-10,31
2006-11,37
2006-12,30
2007-01,43
2007-02,39
2007-03,37
2007-04,39
2007-05,31
2007-06,39
2007-07,41
2007-08,31
2007-09,41
2007-10,38
2007-11,30
2007-12,28
2008-01,41
2008-02,35
2008-03,37
2008-04,36
2008-05,35
2008-06,44
2008-07,40
2008-08,29
2008-09,32
2008-10,30
2008-11,30
2008-12,26
2009-01,34
2009-02,28
2009-03,26
2009-04,30
2009-05,30
2009-06,24
2009-07,29
2009-08,29
2009-09,29
2009-10,24
2009-11,29
2009-12,20
2010-01,28
2010-02,25
2010-03,25
2010-04,28
2010-05,28
2010-06,27
2010-07,28
2010-08,31
2010-09,22
2010-10,25
2010-11,23
2010-12,17
2011-01,27
2011-02,20
2011-03,23
2011-04,24
2011-05,24
2011-06,26
2011-07,22
2011-08,24
2011-09,20
2011-10,24
2011-11,19
2011-12,19
2012-01,25
2012-02,20
2012-03,25
2012-04,20
2012-05,25
2012-06,20
2012-07,21
2012-08,24
2012-09,25
2012-10,18
2012-11,19
2012-12,21
2013-01,23
2013-02,22
2013-03,20
2013-04,21
2013-05,19
2013-06,20
2013-07,23
2013-08,21
2013-09,19
2013-10,15
2013-11,18
2013-12,20
2014-01,22
2014-02,19
2014-03,21
2014-04,22
2014-05,19
2014-06,23
2014-07,19
2014-08,21
2014-09,21
2014-10,18
2014-11,19
2014-12,16
2015-01,22
2015-02,21
2015-03,20
2015-04,20
2015-05,21
2015-06,20
2015-07,21
2015-08,19
2015-09,17
2015-10,17
2015-11,19
2015-12,18
2016-01,21
2016-02,18
2016-03,21
2016-04,21
2016-05,23
2016-06,22
2016-07,21
2016-08,19
2016-09,20
2016-10,19
2016-11,19
2016-12,19
2017-01,22
2017-02,20
2017-03,20
2017-04,22
2017-05,20
2017-06,18
2017-07,21
2017-08,19
2017-09,18
2017-10,20
2017-11,17
2017-12,18
2018-01,23
2018-02,19
2018-03,21
2018-04,20
2018-05,20
2018-06,19
2018-07,20
2018-08,18
2018-09,17
2018-10,21
